     15.3000      0.7875      0.0156      2.3552      0.7313      2.9907      0.9671
     15.4000      0.7858      0.0157      2.3704      0.7444      3.0164      0.9862
     15.5000      0.7842      0.0158      2.3845      0.7574      3.0407      1.0051
     15.6000      0.7825      0.0159      2.3973      0.7702      3.0635      1.0239
     15.7000      0.7809      0.0160      2.4088      0.7829      3.0846      1.0425
     15.8000      0.7793      0.0162      2.4190      0.7953      3.1041      1.0608
     15.9000      0.7777      0.0163      2.4278      0.8076      3.1217      1.0789
     16.0000      0.7761      0.0164      2.4350      0.8196      3.1374      1.0966
     16.1000      0.7746      0.0165      2.4408      0.8312      3.1512      1.1139
     16.2000      0.7730      0.0166      2.4449      0.8426      3.1628      1.1307
     16.3000      0.7715      0.0167      2.4474      0.8535      3.1724      1.1471
     16.4000      0.7700      0.0168      2.4483      0.8641      3.1797      1.1629
     16.5000      0.7685      0.0170      2.4474      0.8742      3.1848      1.1781
     16.6000      0.7670      0.0171      2.4449      0.8838      3.1876      1.1926
     16.7000      0.7655      0.0172      2.4405      0.8928      3.1881      1.2064
     16.8000      0.7641      0.0173      2.4345      0.9013      3.1862      1.2195
     16.9000      0.7626      0.0175      2.4266      0.9091      3.1819      1.2316
     17.0000      0.7612      0.0176      2.4171      0.9163      3.1753      1.2429
     17.1000      0.7598      0.0177      2.4058      0.9227      3.1663      1.2532
     17.2000      0.7584      0.0178      2.3928      0.9284      3.1549      1.2624
     17.3000      0.7571      0.0180      2.3781      0.9334      3.1412      1.2706
     17.4000      0.7557      0.0181      2.3618      0.9375      3.1253      1.2777
     17.5000      0.7544      0.0182      2.3439      0.9407      3.1070      1.2836
     17.6000      0.7531      0.0184      2.3244      0.9431      3.0866      1.2884
     17.7000      0.7517      0.0185      2.3035      0.9446      3.0641      1.2919
     17.8000      0.7505      0.0186      2.2811      0.9452      3.0396      1.2942
     17.9000      0.7492      0.0188      2.2574      0.9448      3.0131      1.2951
     18.0000      0.7479      0.0189      2.2324      0.9436      2.9847      1.2949
     18.1000      0.7467      0.0191      2.2062      0.9414      2.9546      1.2933
     18.2000      0.7455      0.0192      2.1789      0.9383      2.9228      1.2905
     18.3000      0.7443      0.0194      2.1506      0.9343      2.8894      1.2864
     18.4000      0.7431      0.0195      2.1213      0.9294      2.8546      1.2810
     18.5000      0.7419      0.0197      2.0911      0.9236      2.8184      1.2745
     18.6000      0.7408      0.0198      2.0602      0.9170      2.7811      1.2668
     18.7000      0.7397      0.0200      2.0286      0.9096      2.7426      1.2579
     18.8000      0.7385      0.0201      1.9963      0.9014      2.7031      1.2479
     18.9000      0.7374      0.0203      1.9636      0.8924      2.6627      1.2368
     19.0000      0.7364      0.0205      1.9304      0.8828      2.6216      1.2248
     19.1000      0.7353      0.0206      1.8969      0.8724      2.5797      1.2118
     19.2000      0.7343      0.0208      1.8631      0.8615      2.5374      1.1980
     19.3000      0.7332      0.0210      1.8291      0.8500      2.4945      1.1833
     19.4000      0.7322      0.0211      1.7949      0.8381      2.4513      1.1678
     19.5000      0.7312      0.0213      1.7607      0.8256      2.4079      1.1517
     19.6000      0.7302      0.0215      1.7265      0.8127      2.3642      1.1349
     19.7000      0.7293      0.0217      1.6923      0.7994      2.3205      1.1176
     19.8000      0.7283      0.0219      1.6583      0.7859      2.2768      1.0998
     19.9000      0.7274      0.0220      1.6244      0.7720      2.2331      1.0815
     20.0000      0.7265      0.0222      1.5908      0.7579      2.1896      1.0629
     20.1000      0.7256      0.0224      1.5574      0.7436      2.1463      1.0439
